created_at,entry_id,field1,field2,field3,field4,field5
2021-01-04 16:07:44 UTC,1354,26.00,0.55,209.71,205.92,0.00
2021-01-04 16:18:10 UTC,1355,26.06,0.55,209.74,205.72,0.00
2021-01-04 16:28:35 UTC,1356,26.06,0.55,209.80,205.78,0.00
2021-01-04 16:39:00 UTC,1357,26.06,0.55,209.79,205.77,0.00
2021-01-04 16:49:25 UTC,1358,26.06,0.55,209.78,205.76,0.00
2021-01-04 17:00:19 UTC,1359,85.00,0.55,209.88,101.05,0.00
2021-01-04 17:10:44 UTC,1360,26.06,0.55,209.85,205.82,0.00
2021-01-04 17:21:09 UTC,1361,26.06,0.55,209.85,205.82,0.00
2021-01-04 17:31:35 UTC,1362,26.00,0.55,209.88,206.08,0.00
2021-01-04 17:42:00 UTC,1363,26.06,0.56,210.03,206.00,0.00
2021-01-04 17:52:25 UTC,1364,26.06,0.56,210.08,206.05,0.00
2021-01-04 18:02:50 UTC,1365,26.06,0.56,210.21,206.18,0.00
2021-01-04 18:13:16 UTC,1366,26.06,0.56,210.50,206.47,0.00
2021-01-04 18:23:41 UTC,1367,26.06,0.56,210.38,206.35,0.00
2021-01-04 18:34:08 UTC,1368,26.06,0.56,210.77,206.73,0.00
2021-01-04 18:44:33 UTC,1369,26.06,0.56,210.95,206.91,0.00
2021-01-04 18:54:58 UTC,1370,26.06,0.56,211.10,207.05,0.00
2021-01-04 19:05:23 UTC,1371,26.06,0.56,211.23,207.18,0.00
2021-01-04 19:15:48 UTC,1372,26.06,0.56,211.26,207.21,0.00
2021-01-04 19:26:13 UTC,1373,26.06,0.56,211.54,207.48,0.00
2021-01-04 19:36:38 UTC,1374,85.00,0.56,212.00,102.10,0.00
2021-01-04 19:47:04 UTC,1375,26.06,0.56,211.99,207.92,0.00
